file,class,method,variable,usage
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByBillId/1[java.lang.String],pst,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByBillId/1[java.lang.String],rs,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByBillId/1[java.lang.String],con,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByBillId/1[java.lang.String],billId,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByBillId/1[java.lang.String],sql,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByRoomNumberAndStatus/2[java.lang.String,java.lang.String]",pst,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByRoomNumberAndStatus/2[java.lang.String,java.lang.String]",rs,6
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByRoomNumberAndStatus/2[java.lang.String,java.lang.String]",roomNumber,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByRoomNumberAndStatus/2[java.lang.String,java.lang.String]",con,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByRoomNumberAndStatus/2[java.lang.String,java.lang.String]",status,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByRoomNumberAndStatus/2[java.lang.String,java.lang.String]",sql,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByRoomNumberAndStatus/2[java.lang.String,java.lang.String]",customer,6
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"updateStatusByRoomNumber/2[java.lang.String,java.lang.String]",pst,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"updateStatusByRoomNumber/2[java.lang.String,java.lang.String]",roomNumber,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"updateStatusByRoomNumber/2[java.lang.String,java.lang.String]",con,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"updateStatusByRoomNumber/2[java.lang.String,java.lang.String]",status,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"updateStatusByRoomNumber/2[java.lang.String,java.lang.String]",sql,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByStatusAndOutDate/2[java.lang.String,java.lang.String]",pst,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByStatusAndOutDate/2[java.lang.String,java.lang.String]",outDate,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByStatusAndOutDate/2[java.lang.String,java.lang.String]",rs,2
